2026-02-20 20:11:01 | INFO     | polybot.agent | === Cycle 12 ===
2026-02-20 20:11:01 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/events?slug=btc-updown-5m-1771629000 "HTTP/1.1 200 OK"
2026-02-20 20:11:01 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:11:01 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=22005263817464340172321077758961432136288550262523095224230664834856641276389 "HTTP/2 200 OK"
2026-02-20 20:11:02 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:11:02 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=5m&limit=2 "HTTP/1.1 200 OK"
2026-02-20 20:11:02 | INFO     | polybot.prefilter | Pre-filter SKIP: No clear setup: streak=1, best entry=0.440 > 0.400
2026-02-20 20:11:12 | INFO     | polybot.agent | === Cycle 13 ===
2026-02-20 20:11:12 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/events?slug=btc-updown-5m-1771629000 "HTTP/1.1 200 OK"
2026-02-20 20:11:12 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:11:13 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=22005263817464340172321077758961432136288550262523095224230664834856641276389 "HTTP/2 200 OK"
2026-02-20 20:11:13 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:11:13 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=5m&limit=2 "HTTP/1.1 200 OK"
2026-02-20 20:11:15 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-02-20 20:11:15 | INFO     | polybot.decision_engine.engine | Screen: TRADE — DOWN token ask=0.40 is attractive (<0.40 threshold), strong orderbook imbalance  (1770ms, cost=$0.0016)
2026-02-20 20:11:35 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-02-20 20:11:35 | INFO     | polybot.decision_engine.engine | AI decision: HOLD MARKET 0.00 @ confidence=0.52 (19454ms, cost=$0.0249)
2026-02-20 20:11:35 | INFO     | polybot.agent | API cost: $0.0249 (session total: $0.1065)
2026-02-20 20:12:35 | INFO     | polybot.agent | === Cycle 14 ===
2026-02-20 20:12:35 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/events?slug=btc-updown-5m-1771629000 "HTTP/1.1 200 OK"
2026-02-20 20:12:35 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:12:35 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=22005263817464340172321077758961432136288550262523095224230664834856641276389 "HTTP/2 200 OK"
2026-02-20 20:12:36 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:12:36 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-02-20 20:12:37 | INFO     | httpx | HTTP Request: POST https://ethereum.publicnode.com "HTTP/1.1 200 OK"
2026-02-20 20:12:37 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=5m&limit=2 "HTTP/1.1 200 OK"
2026-02-20 20:12:39 | INFO     | httpx | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-02-20 20:12:39 | INFO     | polybot.decision_engine.engine | Screen: HOLD — No clear trade setup: only 1 consecutive DOWN candle (no streak), BTC momentum i (1531ms, cost=$0.0016)
2026-02-20 20:13:39 | INFO     | polybot.agent | === Cycle 15 ===
2026-02-20 20:13:39 | INFO     | httpx | HTTP Request: GET https://gamma-api.polymarket.com/events?slug=btc-updown-5m-1771629000 "HTTP/1.1 200 OK"
2026-02-20 20:13:39 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:13:39 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/book?token_id=22005263817464340172321077758961432136288550262523095224230664834856641276389 "HTTP/2 200 OK"
2026-02-20 20:13:39 | INFO     | httpx | HTTP Request: GET https://clob.polymarket.com/last-trade-price?token_id=16653851236275636155591710548352555496751161051161010950254539327584173031768 "HTTP/2 200 OK"
2026-02-20 20:13:40 | INFO     | httpx | HTTP Request: GET https://api.binance.com/api/v3/ticker/price?symbol=BTCUSDT "HTTP/1.1 200 OK"
